uri,schema,tabela,coluna,descrição
,lake_bases_bulkylog,acompanhamento_expedicoes,chave_fornecedor,Chave da NF Fornecedor
,lake_bases_bulkylog,acompanhamento_expedicoes,chave_nota_mi,Chave da NF Madeira
,lake_bases_bulkylog,acompanhamento_expedicoes,cidade_cliente,Cidade do cliente destino
,lake_bases_bulkylog,acompanhamento_expedicoes,cidade_fornecedor,Cidade de origem do fornecedor
,lake_bases_bulkylog,acompanhamento_expedicoes,data_compra_cliente,Data em que o pedido de venda foi realizado
,lake_bases_bulkylog,acompanhamento_expedicoes,data_exp_hj,"Data de expedição do pedido pelo fornecedor, mostrada apenas caso tenha sido feita nos ultimos 30 dias"
,lake_bases_bulkylog,acompanhamento_expedicoes,data_expedicao,Data de expedição do pedido pelo fornecedor
,lake_bases_bulkylog,acompanhamento_expedicoes,descricao_origem,"Descrição da origem, região de coleta"
,lake_bases_bulkylog,acompanhamento_expedicoes,destino,Descrição da região de destino
,lake_bases_bulkylog,acompanhamento_expedicoes,estado_fornecedor,Estado de origem do fornecedor
,lake_bases_bulkylog,acompanhamento_expedicoes,expedida_hj,Flag que indica se a expedição foi realizada no dia atual ou não
,lake_bases_bulkylog,acompanhamento_expedicoes,fornecedor,Nome do fornecedor
,lake_bases_bulkylog,acompanhamento_expedicoes,id,Id da transportadora de redespacho
,lake_bases_bulkylog,acompanhamento_expedicoes,id_coleta,Id da coleta realizada
,lake_bases_bulkylog,acompanhamento_expedicoes,id_filial,Id de filial de coleta
,lake_bases_bulkylog,acompanhamento_expedicoes,id_fornecedor,Id do fornecedor responsável pela coleta
,lake_bases_bulkylog,acompanhamento_expedicoes,id_lote,Lote da NF Madeira
,lake_bases_bulkylog,acompanhamento_expedicoes,nf_fornecedor,"Nota fiscal referente ao fornecedor, remessa ou simbólica"
,lake_bases_bulkylog,acompanhamento_expedicoes,nf_venda,"Nota fisca de venda, nota madeira"
,lake_bases_bulkylog,acompanhamento_expedicoes,nome_transportadora,"Nome reduzido da transporta de coleta, idenpendente da etapa de transporte"
,lake_bases_bulkylog,acompanhamento_expedicoes,pedido_venda,Id do pedido de venda
,lake_bases_bulkylog,acompanhamento_expedicoes,peso,Peso da NF Madeira
,lake_bases_bulkylog,acompanhamento_expedicoes,placa_lote,Placa contida na NF Madeira
,lake_bases_bulkylog,acompanhamento_expedicoes,processed_at,Data de quando o dado foi processado
,lake_bases_bulkylog,acompanhamento_expedicoes,quantidade_itens_faturados,Quantidade de itens faturados na NF Madeira
,lake_bases_bulkylog,acompanhamento_expedicoes,redespacho,Nome reduzido da transportadora de redespacho
,lake_bases_bulkylog,acompanhamento_expedicoes,transportadora,Nome completo da transportadora de entrega
,lake_bases_bulkylog,acompanhamento_expedicoes,valor_nota_fiscal,Valor total da NF Madeira
,lake_bases_bulkylog,acompanhamento_expedicoes,volume,Volume da NF Madeira
